(Undefined Nation)    MIN
Wurtemberg    WUR
Würzburg    THU
Xhosa    XHO
York    YOR
Zanj    ZAN
Zapotec    ZAP
Zeeland    ZEE
Zimbabwe    ZIM
Zulu    ZUL
Mercenaries    MER
Natives    NAT
Pirates    PIR
Rebel Scum    REB
